รหัสตำบล,ปีที่ขึ้นทะเบียน,Number of patients
600101.0,2562,15
600101.0,2563,55
600101.0,2564,38
600101.0,2565,34
600101.0,2566,27
600101.0,2567,41
600101.0,2568,12
600102.0,2562,3
600102.0,2563,5
600102.0,2564,5
600102.0,2565,5
600102.0,2566,5
600102.0,2567,4
600103.0,2562,2
600103.0,2563,6
600103.0,2564,5
600103.0,2565,2
600103.0,2566,6
600103.0,2567,7
600103.0,2568,1
600104.0,2563,3
600104.0,2564,2
600104.0,2565,2
600104.0,2567,1
600104.0,2568,1
600105.0,2562,2
600105.0,2563,9
600105.0,2564,7
600105.0,2565,5
600105.0,2566,7
600105.0,2567,2
600106.0,2562,34
600106.0,2563,179
600106.0,2564,153
600106.0,2565,128
600106.0,2566,110
600106.0,2567,115
600106.0,2568,28
600107.0,2562,5
600107.0,2563,12
600107.0,2564,13
600107.0,2565,11
600107.0,2566,12
600107.0,2567,26
600107.0,2568,3
600108.0,2563,1
600108.0,2564,2
600108.0,2565,1
600108.0,2566,4
600108.0,2568,1
600109.0,2562,3
600109.0,2563,10
600109.0,2564,7
600109.0,2565,6
600109.0,2566,9
600109.0,2567,5
600109.0,2568,2
600110.0,2562,4
600110.0,2563,17
600110.0,2564,13
600110.0,2565,13
600110.0,2566,16
600110.0,2567,9
600111.0,2562,2
600111.0,2563,10
600111.0,2564,10
600111.0,2565,8
600111.0,2566,12
600111.0,2567,6
600111.0,2568,1
600112.0,2562,5
600112.0,2563,15
600112.0,2564,9
600112.0,2565,5
600112.0,2566,11
600112.0,2567,6
600112.0,2568,3
600113.0,2562,7
600113.0,2563,43
600113.0,2564,22
600113.0,2565,36
600113.0,2566,41
600113.0,2567,39
600113.0,2568,10
600114.0,2562,4
600114.0,2563,26
600114.0,2564,18
600114.0,2565,21
600114.0,2566,13
600114.0,2567,20
600114.0,2568,5
600115.0,2562,4
600115.0,2563,24
600115.0,2564,11
600115.0,2565,20
600115.0,2566,22
600115.0,2567,21
600115.0,2568,4
600116.0,2562,8
600116.0,2563,18
600116.0,2564,17
600116.0,2565,16
600116.0,2566,17
600116.0,2567,19
600116.0,2568,3
600117.0,2562,2
600117.0,2563,8
600117.0,2564,4
600117.0,2565,3
600117.0,2566,5
600117.0,2567,5
600117.0,2568,2
600201.0,2562,5
600201.0,2563,6
600201.0,2564,6
600201.0,2565,5
600201.0,2566,9
600201.0,2567,5
600202.0,2563,2
600202.0,2564,4
600202.0,2565,7
600202.0,2566,6
600202.0,2567,3
600202.0,2568,1
600203.0,2563,6
600203.0,2564,1
600203.0,2565,5
600203.0,2566,1
600203.0,2567,2
600204.0,2563,3
600204.0,2564,5
600204.0,2565,11
600204.0,2566,6
600204.0,2567,10
600204.0,2568,1
600205.0,2563,4
600205.0,2565,2
600205.0,2566,5
600205.0,2567,2
600205.0,2568,1
600206.0,2562,3
600206.0,2563,4
600206.0,2564,3
600206.0,2565,2
600206.0,2566,6
600206.0,2567,2
600206.0,2568,1
600207.0,2563,4
600207.0,2564,4
600207.0,2565,7
600207.0,2566,4
600207.0,2567,3
600207.0,2568,1
600208.0,2563,1
600208.0,2564,5
600208.0,2565,3
600208.0,2566,1
600208.0,2567,2
600209.0,2563,2
600209.0,2564,3
600209.0,2565,1
600209.0,2567,1
600301.0,2562,1
600301.0,2563,3
600301.0,2564,8
600301.0,2565,2
600301.0,2566,7
600301.0,2567,5
600301.0,2568,2
600302.0,2562,3
600302.0,2563,9
600302.0,2564,7
600302.0,2565,15
600302.0,2566,12
600302.0,2567,3
600302.0,2568,3
600303.0,2563,1
600303.0,2564,2
600303.0,2565,5
600303.0,2566,1
600303.0,2567,3
600303.0,2568,1
600304.0,2562,2
600304.0,2563,5
600304.0,2564,3
600304.0,2565,2
600304.0,2566,6
600304.0,2567,11
600304.0,2568,1
600305.0,2562,1
600305.0,2563,4
600305.0,2564,4
600305.0,2565,3
600305.0,2566,4
600305.0,2567,5
600305.0,2568,3
600306.0,2563,1
600306.0,2564,1
600306.0,2565,2
600306.0,2566,5
600306.0,2567,7
600306.0,2568,1
600307.0,2563,4
600307.0,2564,3
600307.0,2565,1
600307.0,2566,4
600307.0,2567,1
600307.0,2568,2
600308.0,2563,3
600308.0,2564,4
600308.0,2565,5
600308.0,2566,3
600308.0,2567,1
600309.0,2563,2
600309.0,2564,6
600309.0,2565,5
600309.0,2566,1
600309.0,2567,2
600310.0,2563,1
600310.0,2565,5
600310.0,2566,2
600310.0,2567,1
600311.0,2563,3
600311.0,2564,3
600311.0,2565,3
600311.0,2566,1
600311.0,2567,4
600311.0,2568,1
600312.0,2563,1
600312.0,2567,6
600312.0,2568,2
600401.0,2562,4
600401.0,2563,13
600401.0,2564,6
600401.0,2565,10
600401.0,2566,12
600401.0,2567,14
600401.0,2568,2
600402.0,2562,2
600402.0,2563,9
600402.0,2564,17
600402.0,2565,10
600402.0,2566,8
600402.0,2567,13
600402.0,2568,4
600403.0,2563,6
600403.0,2564,9
600403.0,2565,6
600403.0,2566,3
600403.0,2567,4
600403.0,2568,2
600404.0,2563,2
600404.0,2564,3
600404.0,2565,7
600404.0,2566,2
600404.0,2567,2
600405.0,2563,1
600405.0,2564,2
600405.0,2565,2
600405.0,2566,1
600406.0,2562,2
600406.0,2563,3
600406.0,2564,1
600406.0,2565,2
600406.0,2566,3
600406.0,2567,1
600407.0,2563,4
600407.0,2564,4
600407.0,2565,2
600407.0,2566,1
600408.0,2562,2
600408.0,2563,10
600408.0,2564,5
600408.0,2565,2
600408.0,2566,4
600408.0,2567,9
600408.0,2568,1
600409.0,2563,12
600409.0,2564,10
600409.0,2565,7
600409.0,2566,13
600409.0,2567,11
600409.0,2568,3
600501.0,2562,1
600501.0,2563,5
600501.0,2564,9
600501.0,2565,4
600501.0,2566,6
600501.0,2567,6
600501.0,2568,3
600502.0,2562,2
600502.0,2563,12
600502.0,2564,6
600502.0,2565,6
600502.0,2566,4
600502.0,2567,6
600503.0,2563,5
600503.0,2564,7
600503.0,2565,5
600503.0,2566,8
600503.0,2567,7
600504.0,2562,1
600504.0,2563,8
600504.0,2564,5
600504.0,2565,5
600504.0,2566,4
600504.0,2567,5
600504.0,2568,1
600505.0,2562,2
600505.0,2563,15
600505.0,2564,4
600505.0,2565,13
600505.0,2566,8
600505.0,2567,10
600506.0,2563,4
600506.0,2564,3
600506.0,2565,2
600506.0,2566,3
600506.0,2567,3
600507.0,2562,2
600507.0,2563,6
600507.0,2564,4
600507.0,2565,7
600507.0,2566,9
600507.0,2567,3
600507.0,2568,1
600508.0,2562,4
600508.0,2563,6
600508.0,2564,6
600508.0,2565,10
600508.0,2566,2
600508.0,2567,8
600508.0,2568,1
600509.0,2562,3
600509.0,2563,9
600509.0,2564,7
600509.0,2565,5
600509.0,2566,9
600509.0,2567,6
600510.0,2562,2
600510.0,2563,15
600510.0,2564,8
600510.0,2565,6
600510.0,2566,14
600510.0,2567,5
600510.0,2568,1
600511.0,2563,10
600511.0,2564,3
600511.0,2565,6
600511.0,2566,10
600511.0,2567,3
600511.0,2568,2
600512.0,2562,1
600512.0,2563,4
600512.0,2564,4
600512.0,2565,4
600512.0,2566,6
600512.0,2567,6
600512.0,2568,2
600513.0,2562,4
600513.0,2563,17
600513.0,2564,5
600513.0,2565,5
600513.0,2566,8
600513.0,2567,8
600513.0,2568,2
600601.0,2562,4
600601.0,2563,6
600601.0,2564,2
600601.0,2565,6
600601.0,2566,2
600601.0,2567,6
600602.0,2562,1
600602.0,2563,9
600602.0,2564,6
600602.0,2565,9
600602.0,2566,6
600602.0,2567,6
600602.0,2568,2
600603.0,2563,11
600603.0,2564,4
600603.0,2565,3
600603.0,2566,5
600603.0,2567,7
600603.0,2568,2
600604.0,2562,2
600604.0,2563,10
600604.0,2564,6
600604.0,2565,6
600604.0,2566,5
600604.0,2567,8
600604.0,2568,3
600605.0,2562,4
600605.0,2563,9
600605.0,2564,7
600605.0,2565,8
600605.0,2566,19
600605.0,2567,11
600605.0,2568,2
600701.0,2562,8
600701.0,2563,57
600701.0,2564,68
600701.0,2565,44
600701.0,2566,60
600701.0,2567,47
600701.0,2568,9
600702.0,2563,9
600702.0,2564,8
600702.0,2565,10
600702.0,2566,9
600702.0,2567,7
600702.0,2568,2
600703.0,2562,2
600703.0,2563,3
600703.0,2564,3
600703.0,2565,2
600703.0,2566,5
600703.0,2567,2
600704.0,2562,3
600704.0,2563,10
600704.0,2564,5
600704.0,2565,4
600704.0,2566,3
600704.0,2567,3
600704.0,2568,1
600705.0,2562,2
600705.0,2563,8
600705.0,2564,14
600705.0,2565,10
600705.0,2566,8
600705.0,2567,14
600705.0,2568,1
600706.0,2562,1
600706.0,2563,13
600706.0,2564,4
600706.0,2565,8
600706.0,2566,9
600706.0,2567,7
600707.0,2562,1
600707.0,2563,7
600707.0,2564,1
600707.0,2565,4
600707.0,2566,5
600707.0,2567,5
600708.0,2565,1
600708.0,2566,5
600708.0,2567,4
600709.0,2563,5
600709.0,2564,4
600709.0,2565,4
600709.0,2566,4
600709.0,2567,2
600709.0,2568,3
600710.0,2562,2
600710.0,2563,4
600710.0,2564,10
600710.0,2565,3
600710.0,2566,10
600710.0,2567,5
600710.0,2568,1
600801.0,2562,4
600801.0,2563,7
600801.0,2564,5
600801.0,2565,11
600801.0,2566,8
600801.0,2567,8
600802.0,2563,5
600802.0,2564,6
600802.0,2565,4
600802.0,2566,9
600802.0,2567,10
600802.0,2568,1
600803.0,2562,3
600803.0,2563,11
600803.0,2564,7
600803.0,2565,9
600803.0,2566,6
600803.0,2567,5
600803.0,2568,2
600804.0,2562,3
600804.0,2563,9
600804.0,2564,10
600804.0,2565,6
600804.0,2566,11
600804.0,2567,16
600804.0,2568,1
600805.0,2562,1
600805.0,2563,4
600805.0,2564,2
600805.0,2565,4
600805.0,2566,9
600805.0,2567,8
600805.0,2568,1
600806.0,2562,2
600806.0,2563,6
600806.0,2564,13
600806.0,2565,14
600806.0,2566,14
600806.0,2567,10
600806.0,2568,4
600807.0,2562,3
600807.0,2563,7
600807.0,2564,2
600807.0,2565,3
600807.0,2566,4
600807.0,2567,8
600807.0,2568,3
600808.0,2563,1
600808.0,2564,1
600808.0,2565,3
600808.0,2566,1
600808.0,2567,2
600809.0,2562,2
600809.0,2563,1
600809.0,2564,6
600809.0,2565,5
600809.0,2566,8
600809.0,2567,4
600810.0,2562,4
600810.0,2563,2
600810.0,2564,2
600810.0,2565,2
600810.0,2566,3
600810.0,2567,5
600810.0,2568,4
600901.0,2562,1
600901.0,2563,8
600901.0,2564,8
600901.0,2565,6
600901.0,2566,13
600901.0,2567,3
600901.0,2568,3
600902.0,2562,2
600902.0,2563,9
600902.0,2564,8
600902.0,2565,9
600902.0,2566,17
600902.0,2567,6
600902.0,2568,3
600903.0,2563,6
600903.0,2564,10
600903.0,2565,8
600903.0,2566,7
600903.0,2567,7
600903.0,2568,4
600904.0,2562,3
600904.0,2563,11
600904.0,2564,14
600904.0,2565,10
600904.0,2566,15
600904.0,2567,18
600904.0,2568,2
600905.0,2562,3
600905.0,2563,6
600905.0,2564,6
600905.0,2565,5
600905.0,2566,4
600905.0,2567,10
600905.0,2568,1
600906.0,2562,2
600906.0,2563,14
600906.0,2564,6
600906.0,2565,10
600906.0,2566,22
600906.0,2567,6
600906.0,2568,2
600907.0,2563,6
600907.0,2564,6
600907.0,2565,9
600907.0,2566,2
600907.0,2567,4
600907.0,2568,1
600908.0,2562,8
600908.0,2563,16
600908.0,2564,13
600908.0,2565,19
600908.0,2566,14
600908.0,2567,6
600908.0,2568,1
601001.0,2562,2
601001.0,2563,8
601001.0,2564,13
601001.0,2565,9
601001.0,2566,17
601001.0,2567,8
601002.0,2562,2
601002.0,2563,5
601002.0,2564,5
601002.0,2565,4
601002.0,2566,4
601002.0,2567,5
601003.0,2562,2
601003.0,2563,5
601003.0,2564,6
601003.0,2565,5
601003.0,2566,4
601003.0,2567,3
601004.0,2563,2
601004.0,2564,2
601004.0,2565,3
601004.0,2566,3
601004.0,2567,1
601005.0,2562,1
601005.0,2563,4
601005.0,2564,1
601005.0,2565,3
601005.0,2566,1
601005.0,2567,2
601005.0,2568,2
601006.0,2562,2
601006.0,2563,4
601006.0,2564,3
601006.0,2565,3
601006.0,2566,5
601006.0,2567,2
601006.0,2568,1
601007.0,2562,2
601007.0,2563,7
601007.0,2564,9
601007.0,2565,6
601007.0,2566,5
601007.0,2567,3
601008.0,2563,6
601008.0,2564,1
601008.0,2565,3
601008.0,2566,1
601008.0,2567,1
601009.0,2562,3
601009.0,2563,6
601009.0,2564,3
601009.0,2565,5
601009.0,2566,6
601009.0,2567,7
601009.0,2568,1
601010.0,2562,1
601010.0,2563,3
601010.0,2564,4
601010.0,2565,10
601010.0,2566,7
601010.0,2567,10
601010.0,2568,1
601011.0,2563,4
601011.0,2564,8
601011.0,2565,3
601011.0,2566,2
601011.0,2567,1
601011.0,2568,1
601101.0,2562,4
601101.0,2563,17
601101.0,2564,15
601101.0,2565,14
601101.0,2566,17
601101.0,2567,17
601101.0,2568,2
601102.0,2562,2
601102.0,2563,8
601102.0,2564,7
601102.0,2565,2
601102.0,2566,11
601102.0,2567,6
601102.0,2568,1
601103.0,2562,1
601103.0,2563,9
601103.0,2564,6
601103.0,2565,4
601103.0,2566,6
601103.0,2567,9
601103.0,2568,1
601104.0,2563,2
601104.0,2567,1
601104.0,2568,1
601105.0,2563,2
601105.0,2564,3
601105.0,2565,1
601105.0,2566,4
601105.0,2567,4
601106.0,2562,1
601106.0,2563,1
601106.0,2564,2
601106.0,2565,1
601106.0,2566,3
601106.0,2567,2
601107.0,2562,3
601107.0,2563,1
601107.0,2564,4
601107.0,2565,4
601107.0,2566,9
601107.0,2567,3
601107.0,2568,2
601108.0,2563,3
601108.0,2564,5
601108.0,2565,7
601108.0,2566,6
601108.0,2567,4
601108.0,2568,1
601109.0,2562,6
601109.0,2563,14
601109.0,2564,14
601109.0,2565,14
601109.0,2566,19
601109.0,2567,12
601109.0,2568,6
601110.0,2562,3
601110.0,2563,7
601110.0,2564,4
601110.0,2565,9
601110.0,2566,4
601110.0,2567,3
601110.0,2568,1
601116.0,2562,6
601116.0,2563,14
601116.0,2564,12
601116.0,2565,13
601116.0,2566,10
601116.0,2567,21
601116.0,2568,4
601117.0,2562,1
601117.0,2563,9
601117.0,2564,9
601117.0,2565,8
601117.0,2566,9
601117.0,2567,12
601117.0,2568,2
601201.0,2563,4
601201.0,2564,4
601201.0,2565,5
601201.0,2566,7
601201.0,2567,5
601201.0,2568,1
601202.0,2563,5
601202.0,2564,5
601202.0,2565,5
601202.0,2566,1
601202.0,2567,5
601203.0,2562,2
601203.0,2563,3
601203.0,2564,6
601203.0,2565,4
601203.0,2566,5
601203.0,2567,3
601204.0,2563,4
601204.0,2565,5
601204.0,2566,4
601204.0,2567,1
601204.0,2568,1
601205.0,2563,4
601205.0,2564,2
601205.0,2565,5
601205.0,2566,1
601205.0,2567,1
601206.0,2562,3
601206.0,2563,7
601206.0,2564,6
601206.0,2565,7
601206.0,2566,9
601206.0,2567,8
601206.0,2568,4
601207.0,2564,3
601207.0,2565,2
601207.0,2566,2
601301.0,2562,2
601301.0,2563,5
601301.0,2564,8
601301.0,2565,6
601301.0,2566,12
601301.0,2567,3
601301.0,2568,3
601303.0,2562,5
601303.0,2563,19
601303.0,2564,16
601303.0,2565,9
601303.0,2566,19
601303.0,2567,11
601303.0,2568,4
601304.0,2562,4
601304.0,2563,6
601304.0,2564,11
601304.0,2565,13
601304.0,2566,7
601304.0,2567,14
601304.0,2568,1
601305.0,2562,5
601305.0,2563,11
601305.0,2564,13
601305.0,2565,11
601305.0,2566,11
601305.0,2567,9
601305.0,2568,3
601401.0,2562,7
601401.0,2563,18
601401.0,2564,25
601401.0,2565,20
601401.0,2566,19
601401.0,2567,18
601401.0,2568,3
601501.0,2562,5
601501.0,2563,13
601501.0,2564,14
601501.0,2565,14
601501.0,2566,11
601501.0,2567,5
601501.0,2568,1
601502.0,2562,4
601502.0,2563,12
601502.0,2564,7
601502.0,2565,10
601502.0,2566,11
601502.0,2567,8
601502.0,2568,4
